frame,object_name
100,face
200,face
250,face
300,face
1550,face
2500,face
4250,face
4700,face
4750,face
5050,face
6650,face
6900,face
7800,face
8500,face
8650,face
9000,face
9700,face
10150,face
10750,face
11350,face
12250,face
12450,face
12700,face
13200,face
13800,face
14500,face
15000,face
15300,face
15700,face
15850,face
16650,face
17650,face
18000,face
18050,face
19000,face
19600,face
21650,face
22700,face
24700,face
27450,face
28050,face
28550,face
29450,face
29650,face
29800,face
30000,face
30050,face
30100,face
30200,face
30350,face
30500,face
31000,face
31050,face
33250,face
33900,face
34550,face
35050,face
35200,face
35500,face
36500,face
36550,face
37600,face
38550,face
38750,face
39200,face
39650,face
39800,face
40000,face
41950,face
43450,face
44750,face
44900,face
45200,face
45500,face
46000,face
47250,face
49150,face
49750,face
51350,face
51950,face
52650,face
54500,face
55100,face
56450,face
57500,face
58400,face
58700,face
58950,face
59050,face
59650,face
59800,face
60000,face
61250,face
61950,face
62550,face
64500,face
64650,face
64900,face
65250,face
68600,face
69050,face
71900,face
73550,face
74500,face
76600,face
77500,face
77750,face
78350,face
78400,face
78450,face
78500,face
78950,face
79050,face
80050,face
82250,face
83950,face
84000,face
84100,face
84150,face
84250,face
88950,face
89100,face
89150,face
89300,face
89500,face
90050,face
90550,face
91750,face
92500,face
94750,face
95150,face
95700,face
98800,face
98850,face
101450,face
101700,face
102200,face
103150,face
106950,face
107100,face
107700,face
109000,face
109150,face
109600,face
109950,face
110100,face
110600,face
111250,face
112600,face
113250,face
113850,face
114500,face
114800,face
115250,face
117650,face
119900,face
120900,face
121050,face
121850,face
123000,face
124600,face
125200,face
125900,face
126250,face
128300,face
129500,face
130600,face
130950,face
132200,face
132300,face
133500,face
133650,face
134550,face
136300,face
136500,face
137800,face
140550,face
145050,face
145700,face
146500,face
147400,face
148600,face
148700,face
149000,face
149500,face
149900,face
151150,face
151650,face
152400,face
153050,face
153750,face
155900,face
158450,face
159900,face
161250,face
161300,face
163700,face
163800,face
164650,face
166750,face
168150,face
169450,face
171500,face
173050,face
173400,face
173600,face
174600,face
175300,face
175650,face
175800,face
177050,face
177450,face
178400,face
178700,face
178850,face
178900,face
179000,face
179200,face
179400,face
179750,face
179850,face
179900,face
180150,face
180450,face
180750,face
181300,face
181350,face
181550,face
181600,face
181650,face
181700,face
181750,face
184550,face
187450,face
187700,face
187900,face
189650,face
190250,face
191150,face
192200,face
192450,face
197000,face
